attribute,slice,n,n_pos,prevalence,selection_rate,brier,pr_auc,roc_auc,recall_at_top10,fnr_at_t,fpr_at_t
sex,OVERALL,99554,9555,0.09597806215722121,0.8706129336842316,0.08349025611657901,0.17186551489325924,0.6875715050243973,0.21119832548403977,0.02857142857142857,0.8599095545506061
sex,Female,56982,5440,0.09546874451581201,0.8702748236285143,0.08303805923909396,0.17107056200403672,0.6904992869179218,0.21029411764705883,0.02775735294117647,0.8595126304761166
sex,Male,42572,4115,0.09665977637884056,0.8710654890538382,0.08409551503025119,0.1731126917037471,0.6837447363138789,0.21506682867557717,0.029647630619684083,0.8604415321007879
race,OVERALL,99554,9555,0.09597806215722121,0.8706129336842316,0.08349025611657901,0.17186551489325924,0.6875715050243973,0.21119832548403977,0.02857142857142857,0.8599095545506061
race,Hispanic,1996,210,0.10521042084168336,0.8707414829659319,0.09033594232299842,0.19643421619067414,0.6899482749426759,0.19523809523809524,0.009523809523809525,0.8566629339305711
race,White,83701,7980,0.09533936273162806,0.8698940275504474,0.08305039625285845,0.17022447340237515,0.6863858762739975,0.21303258145363407,0.02957393483709273,0.8592992696874051
race,Black,10544,1061,0.10062594840667678,0.8858118361153262,0.08695588838290688,0.17748909439042976,0.6887346303415318,0.2111215834118756,0.021677662582469368,0.8754613518928609
race,Other,3313,304,0.09175973437971627,0.8403259885300332,0.07944893229197886,0.1882735910606391,0.7090559461964981,0.22697368421052633,0.039473684210526314,0.8281821203057494
age_bin,OVERALL,99554,9555,0.09597806215722121,0.8706129336842316,0.08349025611657901,0.17186551489325924,0.6875715050243973,0.21119832548403977,0.02857142857142857,0.8599095545506061
age_bin,75-84,31018,2891,0.09320394609581534,0.8752014959056031,0.08155436365750961,0.16402035592382186,0.6840353207459221,0.2054652369422345,0.030785195434105846,0.8655384505990685
age_bin,65-74,32856,2968,0.09033357682006331,0.8446250304358413,0.07889467946567112,0.1703658566779792,0.6961234565919414,0.22675202156334232,0.034703504043126686,0.8326418629550322
age_bin,85+,18240,1902,0.10427631578947369,0.8956688596491228,0.0901162037619653,0.17590783941653385,0.6768421537707825,0.1961093585699264,0.017875920084121977,0.8856041131105399
age_bin,<65,17440,1794,0.10286697247706422,0.8852064220183486,0.08866127066278302,0.18419639838048016,0.6851172492397641,0.21627647714604237,0.026198439241917504,0.8750479355745877
