feature,mean_abs_shap,mean_signed_shap
num__chronic_count,0.4469477,-0.12369789
num__days_since_last_discharge_imputed,0.15769935,0.10120977
cat_low__state_code_9,0.10770501,-0.09836045
num__prior_6mo_inpatient_count,0.10711632,-0.10711632
bin__chronic_stroke,0.08167778,0.08166958
bin__chronic_ckd,0.08081713,0.08081713
bin__chronic_osteoporosis,0.07612438,-0.07612438
num__num_diagnoses,0.068135396,-0.0086529
bin__chronic_copd,0.05975612,0.05975612
cat_low__admit_dx_chapter_Health_Factors,0.051421855,0.051127575
cat_low__state_code_20,0.050872426,-0.05084158
cat_low__admit_dx_chapter_Pregnancy,0.04879782,0.04879782
cat_high__admit_dx_code,0.04658136,-0.009670961
cat_low__admit_dx_chapter_Injury_Poisoning,0.041563567,0.041284982
num__admit_month,0.03955182,-0.003927282
cat_high__drg_code,0.038699917,-0.019232398
num__los_days,0.037044864,0.021028914
bin__chronic_ra_oa,0.035232905,-0.035232905
num__num_procedures,0.034213316,-0.002642621
bin__chronic_chf,0.030307088,0.030307088
cat_low__state_code_46,0.027310608,-0.026961323
bin__chronic_cancer,0.027081074,0.027015405
num__age_at_admit,0.02530448,-0.0030882375
cat_low__admit_dx_chapter_Musculoskeletal,0.02486781,0.02486781
cat_low__state_code_54,0.021855565,-0.021855565
cat_low__state_code_18,0.017446408,-0.01736132
cat_low__state_code_7,0.014803224,-0.014136693
bin__chronic_alzheimer,0.01408796,0.01408796
cat_low__admit_dx_chapter_Genitourinary,0.014079128,-0.013909506
cat_low__state_code_15,0.013946307,-0.013895224
bin__chronic_ihd,0.013513261,0.013513261
cat_low__admit_dx_chapter_Unknown,0.013290133,0.0123517895
cat_low__state_code_44,0.0128743965,-0.0128743965
cat_low__race_Black,0.012007747,0.011978337
cat_low__admit_dx_chapter_Blood,0.011856038,0.011856038
cat_low__state_code_1,0.010920998,0.010920998
cat_low__admit_dx_chapter_Digestive,0.0108153755,0.010814613
cat_low__age_bin_65-74,0.010632258,-0.010614493
cat_low__state_code_42,0.010311753,-0.010310391
cat_low__state_code_8,0.009974255,0.009974255
cat_low__state_code_51,0.0097420495,0.0097420495
cat_low__state_code_19,0.009230494,0.009230494
cat_low__state_code_16,0.00890233,0.008648306
cat_low__race_Hispanic,0.008330138,-0.008329481
cat_low__admit_dx_chapter_Symptoms_Illdefined,0.0075344928,-0.0073314537
cat_low__admit_dx_chapter_Circulatory,0.007243481,-0.007235163
cat_low__admit_dx_chapter_Congenital,0.007225716,0.007225716
bin__has_prior_admit,0.007147083,-0.00227219
cat_low__state_code_35,0.0070282687,0.0070282687
cat_low__state_code_37,0.006804749,0.0050559933
cat_low__race_Other,0.0062807617,-0.00628076
cat_low__state_code_45,0.006108014,0.0060516936
cat_low__state_code_30,0.00606259,-0.006046856
num__admit_dow,0.005913029,-0.00024528615
cat_low__state_code_17,0.0058557014,-0.0058557014
cat_low__state_code_38,0.005810295,-0.0053581255
cat_low__admit_dx_chapter_Infectious,0.0055929646,0.0055929646
cat_low__admit_dx_chapter_Respiratory,0.005473992,-0.0049508675
cat_low__state_code_14,0.0052840756,0.0052840756
cat_low__state_code_6,0.0052086106,0.0052086106
bin__chronic_diabetes,0.005171407,0.005171407
cat_low__admit_dx_chapter_Neoplasms,0.00507864,-0.0050135492
cat_low__state_code_21,0.0049508987,0.0049508987
cat_low__sex_Female,0.0047688033,0.0037957637
bin__chronic_depression,0.0044861697,-0.003478998
cat_low__state_code_36,0.0039482107,0.0039482107
cat_low__age_bin_85+,0.0037928969,0.0037896521
cat_low__state_code_49,0.0034417927,0.0034417927
cat_low__admit_dx_chapter_Mental,0.0033940764,0.0032824774
cat_low__state_code_39,0.0033330717,0.0033330717
cat_low__state_code_31,0.0032715139,0.0031752593
cat_low__state_code_5,0.0030854852,0.0030793657
cat_low__state_code_10,0.002509779,-0.0025085253
cat_low__state_code_11,0.002064065,-0.0018767545
cat_low__state_code_12,0.0020014565,0.0020014565
cat_low__state_code_23,0.0018998348,-0.0018713345
cat_low__state_code_3,0.0018546387,0.0014739566
cat_low__age_bin_<65,0.001531487,0.0014430716
cat_low__admit_dx_chapter_Endocrine_Metabolic,0.0015040623,-0.0012815134
cat_low__admit_dx_chapter_Nervous_Sense,0.0013560309,-0.0013560309
cat_low__state_code_33,0.0013118796,0.0013035033
cat_low__age_bin_75-84,0.0012496582,-0.001239341
cat_low__state_code_25,0.0010209491,0.0010209491
cat_low__state_code_29,0.0009962741,-0.0009962741
cat_low__state_code_52,0.00091017387,0.00091017387
cat_low__state_code_22,0.00083554396,0.00083554396
cat_low__state_code_4,0.0007784937,0.0007784937
cat_low__state_code_50,0.000724474,0.000724474
cat_low__admit_dx_chapter_Skin,0.0007178778,-0.0007178778
cat_low__sex_Male,0.00053390034,0.00012466597
cat_low__state_code_34,0.00051600824,-0.00051600824
bin__is_weekend_admit,0.00047978314,0.0004163091
cat_low__state_code_26,0.00032738154,-0.00032738154
cat_low__race_White,0.00010845781,-2.9644238e-05
cat_low__state_code_13,0.0,0.0
cat_low__state_code_2,0.0,0.0
cat_low__admit_dx_chapter_infrequent_sklearn,0.0,0.0
cat_low__state_code_32,0.0,0.0
cat_low__state_code_24,0.0,0.0
cat_low__state_code_28,0.0,0.0
cat_low__state_code_27,0.0,0.0
cat_low__state_code_47,0.0,0.0
cat_low__state_code_43,0.0,0.0
cat_low__state_code_41,0.0,0.0
cat_low__state_code_53,0.0,0.0
