number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,user_attrs_cv_pr_auc,user_attrs_seconds,state
0,0.15985936863121775,2026-04-22 10:30:48.149481,2026-04-22 10:31:49.294248,0 days 00:01:01.144767,0.15601864044243652,254,10,400,3.968793330444372,0.10790061933340454,0.15985936863121775,61.017504930496216,COMPLETE
1,0.17239127679594834,2026-04-22 10:31:49.381970,2026-04-22 10:32:40.065381,0 days 00:00:50.683411,0.8324426408004217,64,8,600,9.330606024425668,0.02097077545038924,0.17239127679594834,50.609169721603394,COMPLETE
2,0.1709925673400758,2026-04-22 10:32:40.130182,2026-04-22 10:33:18.840964,0 days 00:00:38.710782,0.6118528947223795,254,7,400,1.9553708662745248,0.05407232133324004,0.1709925673400758,38.632654666900635,COMPLETE
3,0.17022138105506254,2026-04-22 10:33:18.920178,2026-04-22 10:34:12.058617,0 days 00:00:53.138439,0.5924145688620425,128,9,500,3.2676417657817622,0.031674063118237505,0.17022138105506254,53.04758810997009,COMPLETE
4,0.1577883205679058,2026-04-22 10:34:12.140650,2026-04-22 10:35:00.133567,0 days 00:00:47.992917,0.3046137691733707,128,10,200,6.432759992849893,0.184783006392545,0.1577883205679058,47.91701865196228,COMPLETE
5,0.17310175882818005,2026-04-22 10:35:00.202211,2026-04-22 10:35:56.271969,0 days 00:00:56.069758,0.9826637395249174,64,4,800,9.01761342152453,0.020350604538597654,0.17310175882818005,55.970298528671265,COMPLETE
6,0.17149358302521026,2026-04-22 10:35:56.347633,2026-04-22 10:36:45.739003,0 days 00:00:49.391370,0.9924007723185317,64,4,800,1.0287531299852826,0.0432339754775122,0.17149358302521026,49.29954814910889,COMPLETE
7,0.1731097132938545,2026-04-22 10:36:45.800789,2026-04-22 10:37:35.566395,0 days 00:00:49.765606,0.8223162058068815,64,4,800,8.713551585474248,0.021478918532843637,0.1731097132938545,49.66401791572571,COMPLETE
8,0.16693020475240816,2026-04-22 10:37:35.646280,2026-04-22 10:38:25.484037,0 days 00:00:49.837757,0.7061570597171455,64,6,700,5.217357615388909,0.08796805741100543,0.16693020475240816,49.737820863723755,COMPLETE
9,0.17283287212651713,2026-04-22 10:38:25.561662,2026-04-22 10:38:53.509942,0 days 00:00:27.948280,0.4512435089902094,64,6,200,1.841934116072509,0.03504872711172604,0.17283287212651713,27.863624334335327,COMPLETE
10,0.1703459573740557,2026-04-22 10:38:53.586590,2026-04-22 10:39:37.912088,0 days 00:00:44.325498,0.7979948690790168,128,5,600,2.182801001997512,0.07795389040623767,0.1703459573740557,44.242857217788696,COMPLETE
11,0.1733233656958513,2026-04-22 10:39:37.979343,2026-04-22 10:40:26.981056,0 days 00:00:49.001713,0.9989070167377889,64,4,800,9.908707064515257,0.02122181110863291,0.1733233656958513,48.919025897979736,COMPLETE
12,0.17287650077084069,2026-04-22 10:40:27.053625,2026-04-22 10:41:17.115006,0 days 00:00:50.061381,0.8721796883744242,64,4,800,6.994590430171944,0.027867322531212622,0.17287650077084069,49.971415281295776,COMPLETE
13,0.17322881168097962,2026-04-22 10:41:17.198021,2026-04-22 10:42:05.650711,0 days 00:00:48.452690,0.015510381994227107,64,5,700,9.599264665539609,0.025128782903252333,0.17322881168097962,48.326343059539795,COMPLETE
14,0.17125106694703485,2026-04-22 10:42:05.713410,2026-04-22 10:42:56.260978,0 days 00:00:50.547568,0.005399054503151396,64,6,700,5.07439185243147,0.04206192454731332,0.17125106694703485,50.430970668792725,COMPLETE
15,0.17294899145597986,2026-04-22 10:42:56.350799,2026-04-22 10:43:44.527069,0 days 00:00:48.176270,0.4246143632321183,254,5,700,6.636821006296915,0.028375380951826082,0.17294899145597986,48.07028365135193,COMPLETE
16,0.17135589186138458,2026-04-22 10:43:44.606749,2026-04-22 10:44:25.572137,0 days 00:00:40.965388,0.2567069389694281,64,5,600,4.505153738132625,0.05459210358981002,0.17135589186138458,40.86406874656677,COMPLETE
17,0.1717593881475273,2026-04-22 10:44:25.641841,2026-04-22 10:45:20.392105,0 days 00:00:54.750264,0.011440912914443175,64,7,700,2.7086045968330548,0.026111266609887225,0.1717593881475273,54.639841079711914,COMPLETE
18,0.1679473519382664,2026-04-22 10:45:20.483633,2026-04-22 10:46:04.988042,0 days 00:00:44.504409,0.16247990799475187,254,5,500,9.867926148058249,0.1491320889222255,0.1679473519382664,44.42037582397461,COMPLETE
19,0.17205327501042056,2026-04-22 10:46:05.076555,2026-04-22 10:46:46.628678,0 days 00:00:41.552123,0.5650914976843402,128,7,400,1.3981031795125718,0.03799935391356933,0.17205327501042056,41.457852602005005,COMPLETE
