number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_pr_auc,user_attrs_seconds,state
0,0.15173218958813237,2026-04-22 10:47:20.893250,2026-04-22 10:47:53.714929,0 days 00:00:32.821679,0.662397808134481,0.10790061933340454,10,12,400,0.39676050770529875,0.014936568554617643,0.6624074561769746,0.15173218958813237,32.72193789482117,COMPLETE
1,0.1696334895794649,2026-04-22 10:47:53.787257,2026-04-22 10:48:29.530802,0 days 00:00:35.743545,0.6849356442713105,0.02097077545038924,8,20,600,0.0035498788321965025,0.035113563139704075,0.9329770563201687,0.1696334895794649,35.66445302963257,COMPLETE
2,0.166719954692526,2026-04-22 10:48:29.613278,2026-04-22 10:48:59.169029,0 days 00:00:29.555751,0.6557975442608167,0.05407232133324004,7,6,400,0.01256277350380703,0.07523742884534858,0.8447411578889518,0.166719954692526,29.475584268569946,COMPLETE
3,0.16718758738208553,2026-04-22 10:48:59.238238,2026-04-22 10:49:33.678737,0 days 00:00:34.440499,0.6185801650879991,0.031674063118237505,9,11,500,0.0032476735706274485,0.6647135865318028,0.836965827544817,0.16718758738208553,34.36187028884888,COMPLETE
4,0.15170702028588676,2026-04-22 10:49:33.742878,2026-04-22 10:50:00.246484,0 days 00:00:26.503606,0.6390688456025535,0.184783006392545,10,17,200,0.020914981329035603,1.1290133559092674,0.7218455076693483,0.15170702028588676,26.421894311904907,COMPLETE
5,0.17219045814251235,2026-04-22 10:50:00.338621,2026-04-22 10:50:32.762589,0 days 00:00:32.423968,0.8932793377618082,0.020350604538597654,4,20,800,0.0010887361498353543,7.573772188483914,0.993065495809967,0.17219045814251235,32.33180236816406,COMPLETE
6,0.16982419559091413,2026-04-22 10:50:32.852123,2026-04-22 10:51:38.548772,0 days 00:01:05.696649,0.9562160119476198,0.050959119406094405,4,1,800,0.0011484095345997967,9.594325506334547,0.9697525125755471,0.16982419559091413,65.55739688873291,COMPLETE
7,0.17256533643725827,2026-04-22 10:51:38.668309,2026-04-22 10:52:46.476337,0 days 00:01:07.808028,0.9131097966974672,0.020361094832231294,4,16,800,0.23357760386764334,9.642246240212122,0.9881146304653684,0.17256533643725827,67.6906898021698,COMPLETE
8,0.16856484821274575,2026-04-22 10:52:46.595733,2026-04-22 10:53:54.559588,0 days 00:01:07.963855,0.8168762578054296,0.035258263456622,6,15,700,0.4013215944557928,1.8341025855688862,0.7584406863037442,0.16856484821274575,67.8451406955719,COMPLETE
9,0.16665837161166075,2026-04-22 10:53:54.672748,2026-04-22 10:54:49.431866,0 days 00:00:54.759118,0.986135178426182,0.09755724055260784,6,7,200,0.08765326107537702,0.1895121616089318,0.6052561262871233,0.16665837161166075,54.61411666870117,COMPLETE
10,0.16588451043560956,2026-04-22 10:54:49.547401,2026-04-22 10:55:53.634571,0 days 00:01:04.087170,0.8077796758262878,0.08840012622623035,5,15,600,0.09771757006050358,3.4237623638874335,0.8964612764719793,0.16588451043560956,63.953999042510986,COMPLETE
11,0.17201352658142088,2026-04-22 10:55:53.742174,2026-04-22 10:56:54.555815,0 days 00:01:00.813641,0.9057269210794267,0.023474868724422858,4,20,800,0.08412691274387915,8.694427753283485,0.9997111434945328,0.17201352658142088,60.69083786010742,COMPLETE
12,0.17107084042513063,2026-04-22 10:56:54.668949,2026-04-22 10:57:55.476348,0 days 00:01:00.807399,0.8828777914265403,0.03317298275588022,4,17,800,0.8584350466230594,3.721096302222008,0.9073757906007871,0.17107084042513063,60.69098615646362,COMPLETE
13,0.17169031261629064,2026-04-22 10:57:55.588333,2026-04-22 10:58:45.973745,0 days 00:00:50.385412,0.8833940130263022,0.021576647213953797,5,18,700,0.007691836789018446,0.44062229984956414,0.9993269300752141,0.17169031261629064,50.24945878982544,COMPLETE
14,0.16975307046562485,2026-04-22 10:58:46.082579,2026-04-22 10:59:54.249498,0 days 00:01:08.166919,0.73964158693172,0.04110272993448612,5,14,700,0.05496807040923778,3.7700418765383983,0.9400510425711762,0.16975307046562485,68.03762006759644,COMPLETE
15,0.17069771342976559,2026-04-22 10:59:54.360289,2026-04-22 11:00:26.014187,0 days 00:00:31.653898,0.9326393880401018,0.02714295510606208,6,20,600,0.2705965163428657,9.818827767055323,0.8704439901788259,0.17069771342976559,31.55843234062195,COMPLETE
16,0.1580666772036837,2026-04-22 11:00:26.072329,2026-04-22 11:00:58.611988,0 days 00:00:32.539659,0.8423538641125229,0.07057531471759378,7,8,800,0.0017173484969485982,0.20831348304776223,0.7789964984666875,0.1580666772036837,32.45902156829834,COMPLETE
17,0.17074833863007086,2026-04-22 11:00:58.677596,2026-04-22 11:01:25.769685,0 days 00:00:27.092089,0.7461507718995715,0.042388956333896805,4,13,700,0.03362964536700335,1.6176302658366701,0.9519900743178913,0.17074833863007086,27.015002012252808,COMPLETE
18,0.1720379044012362,2026-04-22 11:01:25.828818,2026-04-22 11:01:50.678172,0 days 00:00:24.849354,0.8541061711296656,0.025955814343950504,5,17,500,0.1946060775163389,4.600703730276296,0.8416216813725803,0.1720379044012362,24.75233745574951,COMPLETE
19,0.15798042653747918,2026-04-22 11:01:50.762264,2026-04-22 11:02:17.199084,0 days 00:00:26.436820,0.986809238059861,0.15259449878166276,7,9,300,0.7793580872568946,0.9098724296016034,0.9010587052283654,0.15798042653747918,26.34159803390503,COMPLETE
